RPS Range,Average Response Time (ms)
1 - 100,4.266806306306306
100 - 200,2.66177253814147
200 - 300,2.3456248976248975
300 - 400,1.6671093023255814
400 - 500,1.483921171171171
500 - 600,1.3305011029411766
600 - 700,2.017358902001026
700 - 800,1.232312365591398
800 - 900,2.0638499644465513
900 - 1000,1.9388595041322312
1000 - 1100,2.9041830718021875
1100 - 1200,4.073427923060298
1200 - 1300,3.1406902541009973
1300 - 1400,3.275583271320137
1400 - 1500,3.6548960674157303
1500 - 1600,5.510395275881159
1600 - 1700,8.53587881535207
1700 - 1800,6.049194031570457
1800 - 1900,7.758108733246865
1900 - 2000,10.235857958971694
